,testo_COppm
2015-04-12 14:38:49,24.5
2015-04-12 14:38:50,24.5
2015-04-12 14:38:51,24.2
2015-04-12 14:38:52,24.2
2015-04-12 14:38:53,24.2
2015-04-12 14:38:54,23.7
2015-04-12 14:38:55,23.7
2015-04-12 14:38:56,23.4
2015-04-12 14:38:57,23.4
2015-04-12 14:38:58,23.35
2015-04-12 14:38:59,23.3
2015-04-12 14:39:00,23.3
2015-04-12 14:39:01,23.3
2015-04-12 14:39:02,23.0
2015-04-12 14:39:03,23.0
2015-04-12 14:39:04,22.85
2015-04-12 14:39:05,22.7
2015-04-12 14:39:06,22.7
2015-04-12 14:39:07,22.4
2015-04-12 14:39:08,22.4
2015-04-12 14:39:09,22.2
2015-04-12 14:39:10,22.2
2015-04-12 14:39:11,22.2
2015-04-12 14:39:12,21.9
2015-04-12 14:39:13,21.9
2015-04-12 14:39:14,21.5
2015-04-12 14:39:15,21.5
2015-04-12 14:39:16,21.5
2015-04-12 14:39:17,21.5
2015-04-12 14:39:18,21.2
2015-04-12 14:39:19,21.2
2015-04-12 14:39:20,21.1
2015-04-12 14:39:21,21.1
2015-04-12 14:39:22,21.05
2015-04-12 14:39:23,21.0
2015-04-12 14:39:24,21.0
2015-04-12 14:39:25,20.6
2015-04-12 14:39:26,20.6
2015-04-12 14:39:27,20.3
2015-04-12 14:39:28,20.3
2015-04-12 14:39:29,20.3
2015-04-12 14:39:30,20.1
2015-04-12 14:39:31,20.1
2015-04-12 14:39:32,19.9
2015-04-12 14:39:33,19.9
2015-04-12 14:39:34,19.9
2015-04-12 14:39:35,19.9
2015-04-12 14:39:36,19.6
2015-04-12 14:39:37,19.6
2015-04-12 14:39:38,19.4
2015-04-12 14:39:39,19.4
2015-04-12 14:39:40,19.4
2015-04-12 14:39:41,19.4
2015-04-12 14:39:42,19.4
2015-04-12 14:39:43,18.9
2015-04-12 14:39:44,18.9
2015-04-12 14:39:45,18.6
2015-04-12 14:39:46,18.6
2015-04-12 14:39:47,18.6
2015-04-12 14:39:48,18.6
2015-04-12 14:39:49,18.4
2015-04-12 14:39:50,18.2
2015-04-12 14:39:51,18.2
2015-04-12 14:39:52,18.2
2015-04-12 14:39:53,18.2
2015-04-12 14:39:54,18.2
2015-04-12 14:39:55,18.2
2015-04-12 14:39:56,18.0
2015-04-12 14:39:57,18.0
2015-04-12 14:39:58,17.8
2015-04-12 14:39:59,17.6
2015-04-12 14:40:00,17.6
2015-04-12 14:40:01,17.6
2015-04-12 14:40:02,17.4
2015-04-12 14:40:03,17.2
2015-04-12 14:40:04,17.2
2015-04-12 14:40:05,17.2
2015-04-12 14:40:06,17.2
2015-04-12 14:40:07,16.9
2015-04-12 14:40:08,16.9
2015-04-12 14:40:09,16.9
2015-04-12 14:40:10,16.9
2015-04-12 14:40:11,16.9
2015-04-12 14:40:12,16.6
2015-04-12 14:40:13,16.6
2015-04-12 14:40:14,16.3
2015-04-12 14:40:15,16.3
2015-04-12 14:40:16,16.15
2015-04-12 14:40:17,16.0
2015-04-12 14:40:18,16.0
2015-04-12 14:40:19,16.0
2015-04-12 14:40:20,16.0
2015-04-12 14:40:21,15.8
2015-04-12 14:40:22,15.8
2015-04-12 14:40:23,15.8
2015-04-12 14:40:24,15.8
2015-04-12 14:40:25,15.4
2015-04-12 14:40:26,15.4
2015-04-12 14:40:27,15.4
2015-04-12 14:40:28,15.4
2015-04-12 14:40:29,15.4
2015-04-12 14:40:30,15.1
2015-04-12 14:40:31,15.1
2015-04-12 14:40:32,14.8
2015-04-12 14:40:33,14.8
2015-04-12 14:40:34,14.8
2015-04-12 14:40:35,14.8
2015-04-12 14:40:36,14.8
2015-04-12 14:40:37,14.8
2015-04-12 14:40:38,14.8
2015-04-12 14:40:39,14.6
2015-04-12 14:40:40,14.6
2015-04-12 14:40:41,14.6
2015-04-12 14:40:42,14.6
2015-04-12 14:40:43,14.3
2015-04-12 14:40:44,14.3
2015-04-12 14:40:45,14.1
2015-04-12 14:40:46,14.1
2015-04-12 14:40:47,14.1
2015-04-12 14:40:48,14.2
2015-04-12 14:40:49,14.2
2015-04-12 14:40:50,14.0
2015-04-12 14:40:51,14.0
2015-04-12 14:40:52,13.7
2015-04-12 14:40:53,13.4
2015-04-12 14:40:54,13.4
2015-04-12 14:40:55,13.4
2015-04-12 14:40:56,13.4
2015-04-12 14:40:57,13.4
2015-04-12 14:40:58,13.35
2015-04-12 14:40:59,13.3
2015-04-12 14:41:00,13.3
2015-04-12 14:41:01,13.1
2015-04-12 14:41:02,13.1
2015-04-12 14:41:03,12.9
2015-04-12 14:41:04,12.9
2015-04-12 14:41:05,12.9
2015-04-12 14:41:06,12.9
2015-04-12 14:41:07,12.9
2015-04-12 14:41:08,12.7
2015-04-12 14:41:09,12.7
2015-04-12 14:41:10,12.7
2015-04-12 14:41:11,12.7
2015-04-12 14:41:12,12.5
2015-04-12 14:41:13,12.5
2015-04-12 14:41:14,12.5
2015-04-12 14:41:15,12.5
2015-04-12 14:41:16,12.4
2015-04-12 14:41:17,12.3
2015-04-12 14:41:18,12.3
2015-04-12 14:41:19,12.2
2015-04-12 14:41:20,12.2
2015-04-12 14:41:21,12.1
2015-04-12 14:41:22,12.1
2015-04-12 14:41:23,12.1
2015-04-12 14:41:24,12.1
2015-04-12 14:41:25,11.8
2015-04-12 14:41:26,11.6
2015-04-12 14:41:27,11.6
2015-04-12 14:41:28,11.6
2015-04-12 14:41:29,11.6
2015-04-12 14:41:30,11.6
2015-04-12 14:41:31,11.6
2015-04-12 14:41:32,11.7
2015-04-12 14:41:33,11.7
2015-04-12 14:41:34,11.6
2015-04-12 14:41:35,11.5
2015-04-12 14:41:36,11.5
2015-04-12 14:41:37,11.5
2015-04-12 14:41:38,11.4
2015-04-12 14:41:39,11.1
2015-04-12 14:41:40,11.1
2015-04-12 14:41:41,11.1
2015-04-12 14:41:42,11.1
2015-04-12 14:41:43,10.9
2015-04-12 14:41:44,10.8
2015-04-12 14:41:45,10.8
2015-04-12 14:41:46,10.8
2015-04-12 14:41:47,10.8
2015-04-12 14:41:48,10.9
2015-04-12 14:41:49,10.9
2015-04-12 14:41:50,10.9
2015-04-12 14:41:51,10.9
2015-04-12 14:41:52,10.9
2015-04-12 14:41:53,10.9
2015-04-12 14:41:54,10.7
2015-04-12 14:41:55,10.7
2015-04-12 14:41:56,10.4
2015-04-12 14:41:57,10.4
2015-04-12 14:41:58,10.4
2015-04-12 14:41:59,10.4
2015-04-12 14:42:00,10.4
2015-04-12 14:42:01,10.4
2015-04-12 14:42:02,10.3
2015-04-12 14:42:03,10.4
2015-04-12 14:42:04,10.4
2015-04-12 14:42:05,10.4
2015-04-12 14:42:06,10.4
2015-04-12 14:42:07,10.2
2015-04-12 14:42:08,10.1
2015-04-12 14:42:09,10.1
2015-04-12 14:42:10,10.1
2015-04-12 14:42:11,10.1
2015-04-12 14:42:12,10.0
2015-04-12 14:42:13,10.0
2015-04-12 14:42:14,10.0
2015-04-12 14:42:15,10.0
2015-04-12 14:42:16,9.95
2015-04-12 14:42:17,9.9
2015-04-12 14:42:18,9.9
2015-04-12 14:42:19,9.9
2015-04-12 14:42:20,9.7
2015-04-12 14:42:21,9.7
2015-04-12 14:42:22,9.7
2015-04-12 14:42:23,9.7
2015-04-12 14:42:24,9.7
2015-04-12 14:42:25,9.8
2015-04-12 14:42:26,9.6
2015-04-12 14:42:27,9.6
2015-04-12 14:42:28,9.6
2015-04-12 14:42:29,9.6
2015-04-12 14:42:30,9.4
2015-04-12 14:42:31,9.4
2015-04-12 14:42:32,9.3
2015-04-12 14:42:33,9.3
2015-04-12 14:42:34,9.35
2015-04-12 14:42:35,9.4
2015-04-12 14:42:36,9.4
2015-04-12 14:42:37,9.4
2015-04-12 14:42:38,9.5
2015-04-12 14:42:39,9.5
2015-04-12 14:42:40,9.5
2015-04-12 14:42:41,9.5
2015-04-12 14:42:42,9.5
2015-04-12 14:42:43,9.3
2015-04-12 14:42:44,9.3
2015-04-12 14:42:45,9.5
2015-04-12 14:42:46,9.5
2015-04-12 14:42:47,9.5
2015-04-12 14:42:48,9.4
2015-04-12 14:42:49,9.4
2015-04-12 14:42:50,9.3
2015-04-12 14:42:51,9.3
2015-04-12 14:42:52,9.4
2015-04-12 14:42:53,9.5
2015-04-12 14:42:54,9.5
2015-04-12 14:42:55,9.5
2015-04-12 14:42:56,9.5
2015-04-12 14:42:57,9.5
2015-04-12 14:42:58,9.6
2015-04-12 14:42:59,9.7
2015-04-12 14:43:00,9.7
2015-04-12 14:43:01,9.9
2015-04-12 14:43:02,9.9
2015-04-12 14:43:03,9.9
2015-04-12 14:43:04,9.9
2015-04-12 14:43:05,9.9
2015-04-12 14:43:06,10.0
2015-04-12 14:43:07,10.0
2015-04-12 14:43:08,10.1
2015-04-12 14:43:09,10.1
2015-04-12 14:43:10,10.1
2015-04-12 14:43:11,10.1
2015-04-12 14:43:12,10.2
2015-04-12 14:43:13,10.2
2015-04-12 14:43:14,10.3
2015-04-12 14:43:15,10.3
2015-04-12 14:43:16,10.35
2015-04-12 14:43:17,10.4
2015-04-12 14:43:18,10.4
2015-04-12 14:43:19,10.7
2015-04-12 14:43:20,10.7
2015-04-12 14:43:21,10.9
2015-04-12 14:43:22,10.9
2015-04-12 14:43:23,10.9
2015-04-12 14:43:24,10.9
2015-04-12 14:43:25,11.2
2015-04-12 14:43:26,11.2
2015-04-12 14:43:27,11.2
2015-04-12 14:43:28,11.2
2015-04-12 14:43:29,11.2
2015-04-12 14:43:30,11.3
2015-04-12 14:43:31,11.3
2015-04-12 14:43:32,11.7
2015-04-12 14:43:33,11.7
2015-04-12 14:43:34,11.8
2015-04-12 14:43:35,11.9
2015-04-12 14:43:36,11.9
2015-04-12 14:43:37,12.0
2015-04-12 14:43:38,12.0
2015-04-12 14:43:39,12.2
2015-04-12 14:43:40,12.2
2015-04-12 14:43:41,12.2
2015-04-12 14:43:42,12.2
2015-04-12 14:43:43,12.6
2015-04-12 14:43:44,12.8
2015-04-12 14:43:45,12.8
2015-04-12 14:43:46,12.8
2015-04-12 14:43:47,12.8
2015-04-12 14:43:48,13.0
2015-04-12 14:43:49,13.0
2015-04-12 14:43:50,13.2
2015-04-12 14:43:51,13.2
2015-04-12 14:43:52,13.3
2015-04-12 14:43:53,13.4
2015-04-12 14:43:54,13.4
2015-04-12 14:43:55,13.4
2015-04-12 14:43:56,13.6
2015-04-12 14:43:57,13.8
2015-04-12 14:43:58,13.8
2015-04-12 14:43:59,13.8
2015-04-12 14:44:00,13.8
2015-04-12 14:44:01,14.1
2015-04-12 14:44:02,14.3
2015-04-12 14:44:03,14.3
2015-04-12 14:44:04,14.3
2015-04-12 14:44:05,14.3
2015-04-12 14:44:06,14.5
2015-04-12 14:44:07,14.5
2015-04-12 14:44:08,14.8
2015-04-12 14:44:09,14.8
2015-04-12 14:44:10,15.0
2015-04-12 14:44:11,15.2
2015-04-12 14:44:12,15.2
2015-04-12 14:44:13,15.2
2015-04-12 14:44:14,15.5
2015-04-12 14:44:15,15.6
2015-04-12 14:44:16,15.6
2015-04-12 14:44:17,15.6
2015-04-12 14:44:18,15.6
2015-04-12 14:44:19,16.0
2015-04-12 14:44:20,16.0
2015-04-12 14:44:21,16.3
2015-04-12 14:44:22,16.3
2015-04-12 14:44:23,16.3
2015-04-12 14:44:24,16.6
2015-04-12 14:44:25,16.6
2015-04-12 14:44:26,16.7
2015-04-12 14:44:27,16.7
2015-04-12 14:44:28,16.75
2015-04-12 14:44:29,16.8
2015-04-12 14:44:30,16.8
2015-04-12 14:44:31,16.8
2015-04-12 14:44:32,17.2
2015-04-12 14:44:33,17.2
2015-04-12 14:44:34,17.35
2015-04-12 14:44:35,17.5
2015-04-12 14:44:36,17.5
2015-04-12 14:44:37,17.8
2015-04-12 14:44:38,17.8
2015-04-12 14:44:39,18.1
2015-04-12 14:44:40,18.1
2015-04-12 14:44:41,18.1
2015-04-12 14:44:42,18.3
2015-04-12 14:44:43,18.3
2015-04-12 14:44:44,18.7
2015-04-12 14:44:45,18.7
2015-04-12 14:44:46,18.8
2015-04-12 14:44:47,18.9
2015-04-12 14:44:48,18.9
2015-04-12 14:44:49,18.9
2015-04-12 14:44:50,19.1
2015-04-12 14:44:51,19.1
2015-04-12 14:44:52,19.2
2015-04-12 14:44:53,19.3
2015-04-12 14:44:54,19.3
2015-04-12 14:44:55,19.4
2015-04-12 14:44:56,19.4
2015-04-12 14:44:57,19.7
2015-04-12 14:44:58,19.7
2015-04-12 14:44:59,19.7
2015-04-12 14:45:00,20.0
2015-04-12 14:45:01,20.0
2015-04-12 14:45:02,20.2
2015-04-12 14:45:03,20.2
2015-04-12 14:45:04,20.2
2015-04-12 14:45:05,20.2
2015-04-12 14:45:06,20.4
2015-04-12 14:45:07,20.4
2015-04-12 14:45:08,20.4
2015-04-12 14:45:09,20.4
2015-04-12 14:45:10,20.5
2015-04-12 14:45:11,20.6
2015-04-12 14:45:12,20.6
2015-04-12 14:45:13,20.8
2015-04-12 14:45:14,20.8
2015-04-12 14:45:15,21.1
2015-04-12 14:45:16,21.1
2015-04-12 14:45:17,21.1
2015-04-12 14:45:18,21.1
2015-04-12 14:45:19,21.4
2015-04-12 14:45:20,21.6
2015-04-12 14:45:21,21.6
2015-04-12 14:45:22,21.6
2015-04-12 14:45:23,21.6
2015-04-12 14:45:24,21.4
2015-04-12 14:45:25,21.4
2015-04-12 14:45:26,21.5
2015-04-12 14:45:27,21.5
2015-04-12 14:45:28,21.6
2015-04-12 14:45:29,21.7
2015-04-12 14:45:30,21.7
2015-04-12 14:45:31,21.7
2015-04-12 14:45:32,21.9
2015-04-12 14:45:33,22.4
2015-04-12 14:45:34,22.4
2015-04-12 14:45:35,22.4
2015-04-12 14:45:36,22.4
2015-04-12 14:45:37,22.5
2015-04-12 14:45:38,22.6
2015-04-12 14:45:39,22.6
2015-04-12 14:45:40,22.6
2015-04-12 14:45:41,22.6
2015-04-12 14:45:42,22.7
2015-04-12 14:45:43,22.7
2015-04-12 14:45:44,22.8
2015-04-12 14:45:45,22.8
2015-04-12 14:45:46,22.9
2015-04-12 14:45:47,23.0
2015-04-12 14:45:48,23.0
2015-04-12 14:45:49,23.0
2015-04-12 14:45:50,23.1
2015-04-12 14:45:51,23.3
2015-04-12 14:45:52,23.3
2015-04-12 14:45:53,23.3
2015-04-12 14:45:54,23.3
2015-04-12 14:45:55,23.5
2015-04-12 14:45:56,23.6
2015-04-12 14:45:57,23.6
2015-04-12 14:45:58,23.6
2015-04-12 14:45:59,23.6
2015-04-12 14:46:00,23.5
2015-04-12 14:46:01,23.5
2015-04-12 14:46:02,23.7
2015-04-12 14:46:03,23.7
2015-04-12 14:46:04,23.7
2015-04-12 14:46:05,23.7
2015-04-12 14:46:06,23.7
2015-04-12 14:46:07,23.7
2015-04-12 14:46:08,23.8
2015-04-12 14:46:09,23.9
2015-04-12 14:46:10,23.9
2015-04-12 14:46:11,23.9
2015-04-12 14:46:12,23.9
2015-04-12 14:46:13,24.0
2015-04-12 14:46:14,24.0
2015-04-12 14:46:15,24.0
2015-04-12 14:46:16,24.0
2015-04-12 14:46:17,24.0
2015-04-12 14:46:18,23.8
2015-04-12 14:46:19,23.8
2015-04-12 14:46:20,23.4
2015-04-12 14:46:21,23.4
2015-04-12 14:46:22,23.4
2015-04-12 14:46:23,23.4
2015-04-12 14:46:24,23.4
2015-04-12 14:46:25,23.4
2015-04-12 14:46:26,23.5
2015-04-12 14:46:27,23.5
2015-04-12 14:46:28,23.45
2015-04-12 14:46:29,23.4
2015-04-12 14:46:30,23.4
2015-04-12 14:46:31,23.3
2015-04-12 14:46:32,23.3
2015-04-12 14:46:33,23.4
2015-04-12 14:46:34,23.4
2015-04-12 14:46:35,23.4
2015-04-12 14:46:36,23.2
2015-04-12 14:46:37,23.2
2015-04-12 14:46:38,22.9
2015-04-12 14:46:39,22.9
2015-04-12 14:46:40,22.9
2015-04-12 14:46:41,22.9
2015-04-12 14:46:42,22.8
2015-04-12 14:46:43,22.8
2015-04-12 14:46:44,22.8
2015-04-12 14:46:45,22.8
2015-04-12 14:46:46,22.75
2015-04-12 14:46:47,22.7
2015-04-12 14:46:48,22.7
2015-04-12 14:46:49,22.6
2015-04-12 14:46:50,22.6
2015-04-12 14:46:51,22.6
2015-04-12 14:46:52,22.6
2015-04-12 14:46:53,22.6
2015-04-12 14:46:54,22.6
2015-04-12 14:46:55,22.6
2015-04-12 14:46:56,22.4
2015-04-12 14:46:57,22.4
2015-04-12 14:46:58,22.4
2015-04-12 14:46:59,22.4
2015-04-12 14:47:00,22.3
2015-04-12 14:47:01,22.3
2015-04-12 14:47:02,22.2
2015-04-12 14:47:03,22.2
2015-04-12 14:47:04,22.25
2015-04-12 14:47:05,22.3
2015-04-12 14:47:06,22.3
2015-04-12 14:47:07,22.3
2015-04-12 14:47:08,22.1
