,ae52_BC,ae52_UVPM
2015-04-12 14:39:21,762573.0,661714.2
2015-04-12 14:39:22,765983.0,663575.3
2015-04-12 14:39:23,769393.0,665436.4
2015-04-12 14:39:24,772803.0,667297.5
2015-04-12 14:39:25,776213.0,669158.6
2015-04-12 14:39:26,779623.0,671019.7
2015-04-12 14:39:27,783033.0,672880.8
2015-04-12 14:39:28,786443.0,674741.9
2015-04-12 14:39:29,789853.0,676603.0
2015-04-12 14:39:30,786287.7,674536.7
2015-04-12 14:39:31,782722.4,672470.4
2015-04-12 14:39:32,779157.1,670404.1
2015-04-12 14:39:33,775591.8,668337.8
2015-04-12 14:39:34,772026.5,666271.5
2015-04-12 14:39:35,768461.2,664205.2
2015-04-12 14:39:36,764895.9,662138.9
2015-04-12 14:39:37,761330.6,660072.6
2015-04-12 14:39:38,757765.3,658006.3
2015-04-12 14:39:39,754200.0,655940.0
2015-04-12 14:39:40,770997.6,716536.6
2015-04-12 14:39:41,787795.2,777133.2
2015-04-12 14:39:42,804592.8,837729.8
2015-04-12 14:39:43,821390.4,898326.4
2015-04-12 14:39:44,838188.0,958923.0
2015-04-12 14:39:45,854985.6,1019519.6
2015-04-12 14:39:46,871783.2,1080116.2
2015-04-12 14:39:47,888580.8,1140712.8
2015-04-12 14:39:48,905378.4,1201309.4
2015-04-12 14:39:49,922176.0,1261906.0
2015-04-12 14:39:50,1268833.6,1588636.1
2015-04-12 14:39:51,1615491.2,1915366.2
2015-04-12 14:39:52,1962148.8,2242096.3
2015-04-12 14:39:53,2308806.4,2568826.4
2015-04-12 14:39:54,2655464.0,2895556.5
2015-04-12 14:39:55,3002121.6,3222286.6
2015-04-12 14:39:56,3348779.2,3549016.7
2015-04-12 14:39:57,3695436.8,3875746.8
2015-04-12 14:39:58,4042094.4,4202476.9
2015-04-12 14:39:59,4388752.0,4529207.0
2015-04-12 14:40:00,4449144.5,4415203.7
2015-04-12 14:40:01,4509537.0,4301200.4
2015-04-12 14:40:02,4569929.5,4187197.1
2015-04-12 14:40:03,4630322.0,4073193.8
2015-04-12 14:40:04,4690714.5,3959190.5
2015-04-12 14:40:05,4751107.0,3845187.2
2015-04-12 14:40:06,4811499.5,3731183.9
2015-04-12 14:40:07,4871892.0,3617180.6
2015-04-12 14:40:08,4932284.5,3503177.3
2015-04-12 14:40:09,4992677.0,3389174.0
2015-04-12 14:40:10,4707343.7,3434795.1
2015-04-12 14:40:11,4422010.4,3480416.2
2015-04-12 14:40:12,4136677.1,3526037.3
2015-04-12 14:40:13,3851343.8,3571658.4
2015-04-12 14:40:14,3566010.5,3617279.5
2015-04-12 14:40:15,3280677.2,3662900.6
2015-04-12 14:40:16,2995343.9,3708521.7
2015-04-12 14:40:17,2710010.6,3754142.8
2015-04-12 14:40:18,2424677.3,3799763.9
2015-04-12 14:40:19,2139344.0,3845385.0
2015-04-12 14:40:20,4225973.0,5372308.6
2015-04-12 14:40:21,6312602.0,6899232.2
2015-04-12 14:40:22,8399231.0,8426155.8
2015-04-12 14:40:23,10485860.0,9953079.4
2015-04-12 14:40:24,12572489.0,11480003.0
2015-04-12 14:40:25,14659118.0,13006926.6
2015-04-12 14:40:26,16745747.0,14533850.2
2015-04-12 14:40:27,18832376.0,16060773.8
2015-04-12 14:40:28,20919005.0,17587697.4
2015-04-12 14:40:29,23005634.0,19114621.0
2015-04-12 14:40:30,22165388.7,18053958.9
2015-04-12 14:40:31,21325143.4,16993296.8
2015-04-12 14:40:32,20484898.1,15932634.7
2015-04-12 14:40:33,19644652.8,14871972.6
2015-04-12 14:40:34,18804407.5,13811310.5
2015-04-12 14:40:35,17964162.2,12750648.4
2015-04-12 14:40:36,17123916.9,11689986.3
2015-04-12 14:40:37,16283671.6,10629324.2
2015-04-12 14:40:38,15443426.3,9568662.1
2015-04-12 14:40:39,14603181.0,8508000.0
2015-04-12 14:40:40,13294307.1,7737966.6
2015-04-12 14:40:41,11985433.2,6967933.2
2015-04-12 14:40:42,10676559.3,6197899.8
2015-04-12 14:40:43,9367685.4,5427866.4
2015-04-12 14:40:44,8058811.5,4657833.0
2015-04-12 14:40:45,6749937.6,3887799.6
2015-04-12 14:40:46,5441063.7,3117766.2
2015-04-12 14:40:47,4132189.8,2347732.8
2015-04-12 14:40:48,2823315.9,1577699.4
2015-04-12 14:40:49,1514442.0,807666.0
2015-04-12 14:40:50,1504319.3,901572.8
2015-04-12 14:40:51,1494196.6,995479.6
2015-04-12 14:40:52,1484073.9,1089386.4
2015-04-12 14:40:53,1473951.2,1183293.2
2015-04-12 14:40:54,1463828.5,1277200.0
2015-04-12 14:40:55,1453705.8,1371106.8
2015-04-12 14:40:56,1443583.1,1465013.6
2015-04-12 14:40:57,1433460.4,1558920.4
2015-04-12 14:40:58,1423337.7,1652827.2
2015-04-12 14:40:59,1413215.0,1746734.0
2015-04-12 14:41:00,1744062.8,2076429.7
2015-04-12 14:41:01,2074910.6,2406125.4
2015-04-12 14:41:02,2405758.4,2735821.1
2015-04-12 14:41:03,2736606.2,3065516.8
2015-04-12 14:41:04,3067454.0,3395212.5
2015-04-12 14:41:05,3398301.8,3724908.2
2015-04-12 14:41:06,3729149.6,4054603.9
2015-04-12 14:41:07,4059997.4,4384299.6
2015-04-12 14:41:08,4390845.2,4713995.3
2015-04-12 14:41:09,4721693.0,5043691.0
2015-04-12 14:41:10,5357987.2,5470282.2
2015-04-12 14:41:11,5994281.4,5896873.4
2015-04-12 14:41:12,6630575.6,6323464.6
2015-04-12 14:41:13,7266869.8,6750055.8
2015-04-12 14:41:14,7903164.0,7176647.0
2015-04-12 14:41:15,8539458.2,7603238.2
2015-04-12 14:41:16,9175752.4,8029829.4
2015-04-12 14:41:17,9812046.6,8456420.6
2015-04-12 14:41:18,10448340.8,8883011.8
2015-04-12 14:41:19,11084635.0,9309603.0
2015-04-12 14:41:20,10722420.3,8863532.5
2015-04-12 14:41:21,10360205.6,8417462.0
2015-04-12 14:41:22,9997990.9,7971391.5
2015-04-12 14:41:23,9635776.2,7525321.0
2015-04-12 14:41:24,9273561.5,7079250.5
2015-04-12 14:41:25,8911346.8,6633180.0
2015-04-12 14:41:26,8549132.1,6187109.5
2015-04-12 14:41:27,8186917.4,5741039.0
2015-04-12 14:41:28,7824702.7,5294968.5
2015-04-12 14:41:29,7462488.0,4848898.0
2015-04-12 14:41:30,7081913.0,4607716.7
2015-04-12 14:41:31,6701338.0,4366535.4
2015-04-12 14:41:32,6320763.0,4125354.1
2015-04-12 14:41:33,5940188.0,3884172.8
2015-04-12 14:41:34,5559613.0,3642991.5
2015-04-12 14:41:35,5179038.0,3401810.2
2015-04-12 14:41:36,4798463.0,3160628.9
2015-04-12 14:41:37,4417888.0,2919447.6
2015-04-12 14:41:38,4037313.0,2678266.3
2015-04-12 14:41:39,3656738.0,2437085.0
2015-04-12 14:41:40,3896595.7,2774110.2
2015-04-12 14:41:41,4136453.4,3111135.4
2015-04-12 14:41:42,4376311.1,3448160.6
2015-04-12 14:41:43,4616168.8,3785185.8
2015-04-12 14:41:44,4856026.5,4122211.0
2015-04-12 14:41:45,5095884.2,4459236.2
2015-04-12 14:41:46,5335741.9,4796261.4
2015-04-12 14:41:47,5575599.6,5133286.6
2015-04-12 14:41:48,5815457.3,5470311.8
2015-04-12 14:41:49,6055315.0,5807337.0
2015-04-12 14:41:50,6046777.7,5632703.9
2015-04-12 14:41:51,6038240.4,5458070.8
2015-04-12 14:41:52,6029703.1,5283437.7
2015-04-12 14:41:53,6021165.8,5108804.6
2015-04-12 14:41:54,6012628.5,4934171.5
2015-04-12 14:41:55,6004091.2,4759538.4
2015-04-12 14:41:56,5995553.9,4584905.3
2015-04-12 14:41:57,5987016.6,4410272.2
2015-04-12 14:41:58,5978479.3,4235639.1
2015-04-12 14:41:59,5969942.0,4061006.0
2015-04-12 14:42:00,5964596.9,4027635.5
2015-04-12 14:42:01,5959251.8,3994265.0
2015-04-12 14:42:02,5953906.7,3960894.5
2015-04-12 14:42:03,5948561.6,3927524.0
2015-04-12 14:42:04,5943216.5,3894153.5
2015-04-12 14:42:05,5937871.4,3860783.0
2015-04-12 14:42:06,5932526.3,3827412.5
2015-04-12 14:42:07,5927181.2,3794042.0
2015-04-12 14:42:08,5921836.1,3760671.5
2015-04-12 14:42:09,5916491.0,3727301.0
2015-04-12 14:42:10,5837045.8,3692227.4
2015-04-12 14:42:11,5757600.6,3657153.8
2015-04-12 14:42:12,5678155.4,3622080.2
2015-04-12 14:42:13,5598710.2,3587006.6
2015-04-12 14:42:14,5519265.0,3551933.0
2015-04-12 14:42:15,5439819.8,3516859.4
2015-04-12 14:42:16,5360374.6,3481785.8
2015-04-12 14:42:17,5280929.4,3446712.2
2015-04-12 14:42:18,5201484.2,3411638.6
2015-04-12 14:42:19,5122039.0,3376565.0
2015-04-12 14:42:20,4966544.8,3247786.5
2015-04-12 14:42:21,4811050.6,3119008.0
2015-04-12 14:42:22,4655556.4,2990229.5
2015-04-12 14:42:23,4500062.2,2861451.0
2015-04-12 14:42:24,4344568.0,2732672.5
2015-04-12 14:42:25,4189073.8,2603894.0
2015-04-12 14:42:26,4033579.6,2475115.5
