,co2tpi_CO2ppm
2015-04-12 14:37:44,17691.1
2015-04-12 14:37:45,17673.0
2015-04-12 14:37:46,17672.4
2015-04-12 14:37:47,17671.8
2015-04-12 14:37:48,17696.8
2015-04-12 14:37:49,17720.0
2015-04-12 14:37:50,17743.2
2015-04-12 14:37:51,17776.0
2015-04-12 14:37:52,17778.3
2015-04-12 14:37:53,17780.6
2015-04-12 14:37:54,17783.4
2015-04-12 14:37:55,17781.75
2015-04-12 14:37:56,17780.1
2015-04-12 14:37:57,17752.2
2015-04-12 14:37:58,17729.7666667
2015-04-12 14:37:59,17707.3333333
2015-04-12 14:38:00,17684.9
2015-04-12 14:38:01,17664.65
2015-04-12 14:38:02,17644.4
2015-04-12 14:38:03,17592.5
2015-04-12 14:38:04,17576.35
2015-04-12 14:38:05,17560.2
2015-04-12 14:38:06,17531.1
2015-04-12 14:38:07,17519.25
2015-04-12 14:38:08,17507.4
2015-04-12 14:38:09,17485.0
2015-04-12 14:38:10,17468.5
2015-04-12 14:38:11,17452.0
2015-04-12 14:38:12,17435.4
2015-04-12 14:38:13,17421.6
2015-04-12 14:38:14,17407.8
2015-04-12 14:38:15,17396.7
2015-04-12 14:38:16,17387.15
2015-04-12 14:38:17,17377.6
2015-04-12 14:38:18,17376.3
2015-04-12 14:38:19,17397.15
2015-04-12 14:38:20,17418.0
2015-04-12 14:38:21,17783.4
2015-04-12 14:38:22,17843.1333333
2015-04-12 14:38:23,17902.8666667
2015-04-12 14:38:24,17962.6
2015-04-12 14:38:25,18014.8
2015-04-12 14:38:26,18067.0
2015-04-12 14:38:27,18067.0
2015-04-12 14:38:28,18051.8
2015-04-12 14:38:29,18036.6
2015-04-12 14:38:30,17966.5
2015-04-12 14:38:31,17911.7
2015-04-12 14:38:32,17856.9
2015-04-12 14:38:33,17803.8
2015-04-12 14:38:34,17754.55
2015-04-12 14:38:35,17705.3
2015-04-12 14:38:36,17681.1
2015-04-12 14:38:37,17669.3
2015-04-12 14:38:38,17657.5
2015-04-12 14:38:39,17547.5
2015-04-12 14:38:40,17527.4
2015-04-12 14:38:41,17507.3
2015-04-12 14:38:42,17477.9
2015-04-12 14:38:43,17462.4
2015-04-12 14:38:44,17446.9
2015-04-12 14:38:45,17450.3
2015-04-12 14:38:46,17482.1666667
2015-04-12 14:38:47,17514.0333333
2015-04-12 14:38:48,17545.9
2015-04-12 14:38:49,17881.3
2015-04-12 14:38:50,18216.7
2015-04-12 14:38:51,19789.8
2015-04-12 14:38:52,21186.3
2015-04-12 14:38:53,22582.8
2015-04-12 14:38:54,26163.6
2015-04-12 14:38:55,28131.95
2015-04-12 14:38:56,30100.3
2015-04-12 14:38:57,33557.6
2015-04-12 14:38:58,35097.8
2015-04-12 14:38:59,36638.0
2015-04-12 14:39:00,38501.9
2015-04-12 14:39:01,39378.95
2015-04-12 14:39:02,40256.0
2015-04-12 14:39:03,41608.7
2015-04-12 14:39:04,42199.45
2015-04-12 14:39:05,42790.2
2015-04-12 14:39:06,43177.4
2015-04-12 14:39:07,43725.7
2015-04-12 14:39:08,44274.0
2015-04-12 14:39:09,45336.3
2015-04-12 14:39:10,45622.6333333
2015-04-12 14:39:11,45908.9666667
2015-04-12 14:39:12,46195.3
2015-04-12 14:39:13,46263.5
2015-04-12 14:39:14,46331.7
2015-04-12 14:39:15,46509.5
2015-04-12 14:39:16,46272.9
2015-04-12 14:39:17,46036.3
2015-04-12 14:39:18,45672.9
2015-04-12 14:39:19,45582.0
2015-04-12 14:39:20,45491.1
2015-04-12 14:39:21,45011.3
2015-04-12 14:39:22,45220.65
2015-04-12 14:39:23,45430.0
2015-04-12 14:39:24,45952.1
2015-04-12 14:39:25,46566.15
2015-04-12 14:39:26,47180.2
2015-04-12 14:39:27,48165.7
2015-04-12 14:39:28,48602.0
2015-04-12 14:39:29,49038.3
2015-04-12 14:39:30,50055.5
2015-04-12 14:39:31,50170.55
2015-04-12 14:39:32,50285.6
2015-04-12 14:39:33,50245.3
2015-04-12 14:39:34,50318.2666667
2015-04-12 14:39:35,50391.2333333
2015-04-12 14:39:36,50464.2
2015-04-12 14:39:37,50984.8
2015-04-12 14:39:38,51505.4
2015-04-12 14:39:39,53234.7
2015-04-12 14:39:40,52580.2
2015-04-12 14:39:41,51925.7
2015-04-12 14:39:42,49081.4
2015-04-12 14:39:43,46751.9
2015-04-12 14:39:44,44422.4
2015-04-12 14:39:45,40263.3
2015-04-12 14:39:46,39165.5
2015-04-12 14:39:47,38067.7
2015-04-12 14:39:48,39569.2
2015-04-12 14:39:49,40578.65
2015-04-12 14:39:50,41588.1
2015-04-12 14:39:51,41251.9
2015-04-12 14:39:52,39779.65
2015-04-12 14:39:53,38307.4
2015-04-12 14:39:54,35829.2
2015-04-12 14:39:55,36034.7
2015-04-12 14:39:56,36240.2
2015-04-12 14:39:57,38193.3
2015-04-12 14:39:58,39227.5666667
2015-04-12 14:39:59,40261.8333333
2015-04-12 14:40:00,41296.1
2015-04-12 14:40:01,42211.8
2015-04-12 14:40:02,43127.5
2015-04-12 14:40:03,44005.6
2015-04-12 14:40:04,44115.2
2015-04-12 14:40:05,44224.8
2015-04-12 14:40:06,42821.9
2015-04-12 14:40:07,41610.35
2015-04-12 14:40:08,40398.8
2015-04-12 14:40:09,38326.4
2015-04-12 14:40:10,37347.45
2015-04-12 14:40:11,36368.5
2015-04-12 14:40:12,35355.9
2015-04-12 14:40:13,35409.9
2015-04-12 14:40:14,35463.9
2015-04-12 14:40:15,36933.5
2015-04-12 14:40:16,38477.1
2015-04-12 14:40:17,40020.7
2015-04-12 14:40:18,43258.3
2015-04-12 14:40:19,43297.15
2015-04-12 14:40:20,43336.0
2015-04-12 14:40:21,44260.5
2015-04-12 14:40:22,46714.4666667
2015-04-12 14:40:23,49168.4333333
2015-04-12 14:40:24,51622.4
2015-04-12 14:40:25,54808.55
2015-04-12 14:40:26,57994.7
2015-04-12 14:40:27,62622.7
2015-04-12 14:40:28,64873.4
2015-04-12 14:40:29,67124.1
2015-04-12 14:40:30,70445.4
2015-04-12 14:40:31,69944.1
2015-04-12 14:40:32,69442.8
2015-04-12 14:40:33,68327.2
2015-04-12 14:40:34,70079.25
2015-04-12 14:40:35,71831.3
2015-04-12 14:40:36,73120.7
2015-04-12 14:40:37,73767.15
2015-04-12 14:40:38,74413.6
2015-04-12 14:40:39,71245.6
2015-04-12 14:40:40,68917.55
2015-04-12 14:40:41,66589.5
2015-04-12 14:40:42,61922.0
2015-04-12 14:40:43,60289.5
2015-04-12 14:40:44,58657.0
2015-04-12 14:40:45,56136.1
2015-04-12 14:40:46,53570.7666667
2015-04-12 14:40:47,51005.4333333
2015-04-12 14:40:48,48440.1
2015-04-12 14:40:49,44171.65
2015-04-12 14:40:50,39903.2
2015-04-12 14:40:51,32525.7
2015-04-12 14:40:52,29493.25
2015-04-12 14:40:53,26460.8
2015-04-12 14:40:54,22586.8
2015-04-12 14:40:55,22574.4
2015-04-12 14:40:56,22562.0
2015-04-12 14:40:57,25107.7
2015-04-12 14:40:58,27679.45
2015-04-12 14:40:59,30251.2
2015-04-12 14:41:00,36869.4
2015-04-12 14:41:01,39699.0
2015-04-12 14:41:02,42528.6
2015-04-12 14:41:03,45444.0
2015-04-12 14:41:04,44733.25
2015-04-12 14:41:05,44022.5
2015-04-12 14:41:06,40869.0
2015-04-12 14:41:07,39127.4
2015-04-12 14:41:08,37385.8
2015-04-12 14:41:09,39054.4
2015-04-12 14:41:10,39437.1333333
2015-04-12 14:41:11,39819.8666667
2015-04-12 14:41:12,40202.6
2015-04-12 14:41:13,42229.95
2015-04-12 14:41:14,44257.3
2015-04-12 14:41:15,49114.6
2015-04-12 14:41:16,49835.45
2015-04-12 14:41:17,50556.3
2015-04-12 14:41:18,57023.4
2015-04-12 14:41:19,59787.95
2015-04-12 14:41:20,62552.5
2015-04-12 14:41:21,59934.7
2015-04-12 14:41:22,59553.6
2015-04-12 14:41:23,59172.5
2015-04-12 14:41:24,63417.5
2015-04-12 14:41:25,64242.45
2015-04-12 14:41:26,65067.4
2015-04-12 14:41:27,63114.7
2015-04-12 14:41:28,63256.45
2015-04-12 14:41:29,63398.2
2015-04-12 14:41:30,67159.5
2015-04-12 14:41:31,67521.05
2015-04-12 14:41:32,67882.6
2015-04-12 14:41:33,71282.7
2015-04-12 14:41:34,70997.0666667
2015-04-12 14:41:35,70711.4333333
2015-04-12 14:41:36,70425.8
2015-04-12 14:41:37,68666.5
2015-04-12 14:41:38,66907.2
2015-04-12 14:41:39,63438.1
2015-04-12 14:41:40,62829.75
2015-04-12 14:41:41,62221.4
2015-04-12 14:41:42,59945.6
2015-04-12 14:41:43,56770.9
2015-04-12 14:41:44,53596.2
2015-04-12 14:41:45,51112.7
2015-04-12 14:41:46,51112.65
2015-04-12 14:41:47,51112.6
2015-04-12 14:41:48,54652.4
2015-04-12 14:41:49,58538.6
2015-04-12 14:41:50,62424.8
2015-04-12 14:41:51,68229.3
2015-04-12 14:41:52,69011.2
2015-04-12 14:41:53,69793.1
2015-04-12 14:41:54,70272.5
