AE51	
Date Time	IR: Ref;IR Sense;IR Atten;UV: Ref;UV: Sense;UV Atten;Flow (mL/m);Temp (C);0;0;IR BC;UV BC	2015/04/12;14:33:18;
2015/04/12;14:49:28;2112818;3356448;-46.29;13504513;16140;672.95;16678;69;0;0;2951977;6406789
2015/04/12;14:49:38;1198336;854539;33.81;2112818;3551520;-51.94;27765;95;0;0;978818;-3846361
2015/04/12;14:49:48;4010600;3612704;10.45;10158446;4066509;91.55;9730;65;0;0;-814729;2172604
2015/04/12;14:49:58;14745713;658193;310.92;4010600;3219488;21.97;30055;108;0;0;3392045;-341074
2015/04/12;14:50:08;3303491;2105405;45.05;92916;839011;-220.05;565;38;0;0;-159661662;-63108933
2015/04/12;14:50:18;28997;725331;-321.94;3303491;2105405;45.05;26371;117;0;0;-4721741;1481026
2015/04/12;14:50:28;6832991;2112818;117.37;6715659;13511681;-69.91;12341;2;0;0;12078190;-1372367
2015/04/12;14:50:38;7360524;1145344;186.04;6832991;2112818;117.37;1018;103;0;0;22886752;27104131
2015/04/12;14:50:48;4415284;4010600;9.61;14224360;11075935;25.02;25701;49;0;0;-2329136;-529412
2015/04/12;14:50:58;13700310;6946926;67.91;4415284;4010600;9.61;11021;3;0;0;1794784;-205930
2015/04/12;14:51:08;6239281;3303491;63.59;780340;89199;216.89;25910;52;0;0;-56615;1178568
2015/04/12;14:51:18;841526;28236;339.46;6239281;3303491;63.59;3338;68;0;0;28041234;-6765943
2015/04/12;14:51:28;3420465;6832991;-69.20;15270733;5934091;94.52;13856;100;0;0;-10006874;328910
2015/04/12;14:51:38;14155776;7148044;68.33;3420465;6832991;-69.20;2571;13;0;0;18149285;-9381711
2015/04/12;14:51:48;3223875;4415284;-31.45;12340538;9309160;28.19;8224;54;0;0;-4116441;1744619
2015/04/12;14:51:58;11403353;13896919;-19.78;3223875;4415284;-31.45;2834;10;0;0;1397495;-3100288
2015/04/12;14:52:08;3228484;6239281;-65.89;5061208;780409;186.95;8253;32;0;0;-1895614;3898760
2015/04/12;14:52:18;22790;841588;-360.90;3228484;6239281;-65.89;4586;11;0;0;-21826231;-8122514
2015/04/12;14:52:28;4408388;3420465;25.37;3823669;15234637;-138.24;15666;32;0;0;8365784;-680402
2015/04/12;14:52:38;5834299;14123264;-88.41;4408388;3420465;25.37;1792;18;0;0;-21542805;13450854
2015/04/12;14:52:48;4473951;3223875;32.77;5780805;9784634;-52.63;12904;61;0;0;3186140;-890536
2015/04/12;14:52:58;395566;2883673;-198.65;4473951;3223875;32.77;100;196;0;0;-785186276;125810317
2015/04/12;14:53:08;4480876;3228484;32.78;3491137;5061208;-37.14;26691;50;0;0;2941914;-385863
2015/04/12;14:53:18;1256974;22790;401.01;4480876;3228484;32.78;25435;0;0;0;4912077;404985
2015/04/12;14:53:28;6253685;4408388;34.97;4538662;3823669;17.14;17247;104;0;0;-7201086;-133585
2015/04/12;14:53:38;3018252;5834269;-65.91;6253685;4408388;34.97;30476;98;0;0;-1123031;86164
2015/04/12;14:53:48;7107943;4473951;46.29;4269570;5780805;-30.30;24372;67;0;0;1561996;-394545
2015/04/12;14:53:58;920580;403246;82.55;7107943;4473951;46.29;3287;245;0;0;3741978;3433145
2015/04/12;14:54:08;7694132;4480876;54.06;2490931;3491137;-33.76;13361;95;0;0;-723272;-882691
2015/04/12;14:54:18;787471;3223054;-140.93;7694083;4480876;54.06;54938;12;0;0;-1204239;235506
2015/04/12;14:54:28;6762805;6253685;7.83;144998;4538662;-344.37;12593;52;0;0;4007824;-4661252
2015/04/12;14:54:38;266016;3018252;-242.89;6751124;6253685;7.65;49664;214;0;0;-1712818;1044254
2015/04/12;14:54:48;3761208;7107943;-63.65;6578534;4269570;43.23;12611;49;0;0;4822364;415612
2015/04/12;14:54:58;991232;920580;7.39;205581;7107943;-354.31;89;226;0;0;270830282;-658072058
