,co2dil_CO2ppm
2015-04-12 14:41:48,15248.4
2015-04-12 14:41:49,16691.0
2015-04-12 14:41:50,18133.6
2015-04-12 14:41:51,19231.1
2015-04-12 14:41:52,19137.7
2015-04-12 14:41:53,19044.3
2015-04-12 14:41:54,18950.9
2015-04-12 14:41:55,17780.3
2015-04-12 14:41:56,16609.7
2015-04-12 14:41:57,12930.2
2015-04-12 14:41:58,11838.25
2015-04-12 14:41:59,10746.3
2015-04-12 14:42:00,10114.3
2015-04-12 14:42:01,10194.3
2015-04-12 14:42:02,10274.3
2015-04-12 14:42:03,9420.1
2015-04-12 14:42:04,9100.9
2015-04-12 14:42:05,8781.7
2015-04-12 14:42:06,8969.7
2015-04-12 14:42:07,9443.5
2015-04-12 14:42:08,9917.3
2015-04-12 14:42:09,8530.0
2015-04-12 14:42:10,6923.7
2015-04-12 14:42:11,5317.4
2015-04-12 14:42:12,3639.7
2015-04-12 14:42:13,4535.9
2015-04-12 14:42:14,5432.1
2015-04-12 14:42:15,10788.5
2015-04-12 14:42:16,12252.6666667
2015-04-12 14:42:17,13716.8333333
2015-04-12 14:42:18,15181.0
2015-04-12 14:42:19,15306.0
2015-04-12 14:42:20,15431.0
2015-04-12 14:42:21,13715.7
2015-04-12 14:42:22,12578.55
2015-04-12 14:42:23,11441.4
2015-04-12 14:42:24,8970.5
2015-04-12 14:42:25,7795.5
2015-04-12 14:42:26,6620.5
2015-04-12 14:42:27,5029.6
2015-04-12 14:42:28,4288.25
2015-04-12 14:42:29,3546.9
2015-04-12 14:42:30,2420.7
2015-04-12 14:42:31,2154.0
2015-04-12 14:42:32,1887.3
2015-04-12 14:42:33,2620.2
2015-04-12 14:42:34,3102.05
2015-04-12 14:42:35,3583.9
2015-04-12 14:42:36,5581.5
2015-04-12 14:42:37,7236.95
2015-04-12 14:42:38,8892.4
2015-04-12 14:42:39,12636.3
2015-04-12 14:42:40,13250.5666667
2015-04-12 14:42:41,13864.8333333
2015-04-12 14:42:42,14479.1
2015-04-12 14:42:43,14183.2
2015-04-12 14:42:44,13887.3
2015-04-12 14:42:45,11574.8
2015-04-12 14:42:46,10665.7
2015-04-12 14:42:47,9756.6
2015-04-12 14:42:48,9313.6
2015-04-12 14:42:49,9725.25
2015-04-12 14:42:50,10136.9
2015-04-12 14:42:51,9633.8
2015-04-12 14:42:52,8767.1
2015-04-12 14:42:53,7900.4
2015-04-12 14:42:54,6014.3
2015-04-12 14:42:55,5288.6
2015-04-12 14:42:56,4562.9
2015-04-12 14:42:57,3325.4
2015-04-12 14:42:58,2898.5
2015-04-12 14:42:59,2471.6
2015-04-12 14:43:00,2020.3
2015-04-12 14:43:01,1828.85
2015-04-12 14:43:02,1637.4
2015-04-12 14:43:03,1521.1
2015-04-12 14:43:04,1582.16666667
2015-04-12 14:43:05,1643.23333333
2015-04-12 14:43:06,1704.3
2015-04-12 14:43:07,1836.3
2015-04-12 14:43:08,1968.3
2015-04-12 14:43:09,2066.5
2015-04-12 14:43:10,1980.55
2015-04-12 14:43:11,1894.6
2015-04-12 14:43:12,1605.5
2015-04-12 14:43:13,1462.35
2015-04-12 14:43:14,1319.2
2015-04-12 14:43:15,1088.8
2015-04-12 14:43:16,994.55
2015-04-12 14:43:17,900.3
2015-04-12 14:43:18,782.5
2015-04-12 14:43:19,717.75
2015-04-12 14:43:20,653.0
2015-04-12 14:43:21,593.1
2015-04-12 14:43:22,568.65
2015-04-12 14:43:23,544.2
2015-04-12 14:43:24,501.7
2015-04-12 14:43:25,493.3
2015-04-12 14:43:26,484.9
2015-04-12 14:43:27,570.8
2015-04-12 14:43:28,641.433333333
2015-04-12 14:43:29,712.066666667
2015-04-12 14:43:30,782.7
2015-04-12 14:43:31,862.85
2015-04-12 14:43:32,943.0
2015-04-12 14:43:33,909.7
