,vim_eng_fuel_rate,vim_eng_ground_spd,vim_eng_load,vim_eng_payload,vim_eng_rpm
2015-04-12 14:41:29,161.778,7.456,84.0,0.0,1574.5
2015-04-12 14:41:30,0.0,8.699,0.0,0.0,1854.5
2015-04-12 14:41:31,169.505,9.321,91.0,0.0,1441.5
2015-04-12 14:41:32,187.534,9.942,99.0,0.0,1527.5
2015-04-12 14:41:33,190.665,11.495,89.0,0.0,1734.5
2015-04-12 14:41:34,167.18,11.806,83.0,0.0,1827.0
2015-04-12 14:41:35,0.0,11.806,0.0,0.0,1835.5
2015-04-12 14:41:36,173.507,13.359,91.0,0.0,1568.5
2015-04-12 14:41:37,191.391,14.913,100.0,0.0,1690.5
2015-04-12 14:41:38,176.598,16.466,100.0,0.0,1875.5
2015-04-12 14:41:39,178.407,17.398,95.0,0.0,1486.0
2015-04-12 14:41:40,191.325,18.952,100.0,0.0,1620.0
2015-04-12 14:41:41,185.038,20.505,87.0,0.0,1721.0
2015-04-12 14:41:42,119.748,20.816,55.0,0.0,1767.0
2015-04-12 14:41:43,99.09,21.437,45.0,0.0,1808.0
2015-04-12 14:41:44,77.574,21.437,34.0,0.0,1821.5
2015-04-12 14:41:45,106.157,21.437,51.0,0.0,1835.5
2015-04-12 14:41:46,88.959,21.748,40.0,0.0,1853.0
2015-04-12 14:41:47,135.453,22.369,72.0,0.0,1504.0
2015-04-12 14:41:48,143.207,22.991,73.0,0.0,1435.5
2015-04-12 14:41:49,98.681,23.301,50.0,0.0,1474.5
2015-04-12 14:41:50,35.174,23.301,14.0,0.0,1481.0
2015-04-12 14:41:51,14.384,22.991,4.0,0.0,1442.5
2015-04-12 14:41:52,1.281,22.991,0.0,0.0,1436.0
2015-04-12 14:41:53,8.07,22.369,1.0,0.0,1395.0
2015-04-12 14:41:54,22.256,21.748,8.0,0.0,1375.5
2015-04-12 14:41:55,31.674,21.748,13.0,0.0,1368.5
2015-04-12 14:41:56,25.955,21.437,10.0,0.0,1353.0
2015-04-12 14:41:57,34.421,20.816,15.0,0.0,1320.5
2015-04-12 14:41:58,37.671,20.816,17.0,0.0,1301.0
